Subject,Session,TrialNumber,avg_rt,accuracy
Subject11,Calming,1,324.1363636363636,0.8181818181818182
Subject11,Calming,2,431.1818181818182,0.45454545454545453
Subject11,Calming,3,251.77272727272728,0.2727272727272727
Subject11,Calming,4,269.40909090909093,0.9090909090909091
Subject11,Calming,5,452.27272727272725,0.5909090909090909
Subject11,Calming,6,278.6363636363636,0.8181818181818182
Subject11,Calming,7,199.36363636363637,0.7727272727272727
Subject11,Calming,8,467.40909090909093,0.5909090909090909
Subject11,Calming,10,448.04545454545456,0.5909090909090909
Subject11,Calming,11,318.45454545454544,0.7727272727272727
Subject11,Calming,12,324.45454545454544,0.9090909090909091
Subject11,Calming,13,470.5,0.7727272727272727
Subject11,Calming,14,492.95454545454544,0.8181818181818182
Subject11,Calming,15,219.27272727272728,0.8636363636363636
Subject11,Calming,16,519.6363636363636,0.7272727272727273
Subject11,Calming,17,294.59090909090907,0.9090909090909091
Subject11,Vexing,1,159.63636363636363,0.8181818181818182
Subject11,Vexing,2,365.1818181818182,0.7272727272727273
Subject11,Vexing,3,245.5,0.6818181818181818
Subject11,Vexing,4,219.77272727272728,0.7727272727272727
Subject11,Vexing,5,291.3181818181818,0.9545454545454546
Subject11,Vexing,6,297.3636363636364,0.6363636363636364
Subject11,Vexing,7,253.1818181818182,0.8181818181818182
Subject11,Vexing,8,306.90909090909093,0.5909090909090909
Subject11,Vexing,10,187.36363636363637,0.6818181818181818
Subject11,Vexing,11,356.8181818181818,0.8636363636363636
Subject11,Vexing,12,316.1363636363636,0.5909090909090909
Subject11,Vexing,13,301.3636363636364,0.7727272727272727
Subject11,Vexing,14,215.1818181818182,0.7272727272727273
Subject11,Vexing,15,233.5909090909091,0.8181818181818182
Subject11,Vexing,16,321.45454545454544,0.0
Subject11,Vexing,17,267.54545454545456,0.8181818181818182
Subject3,Calming,1,564.4090909090909,0.8636363636363636
Subject3,Calming,2,488.1363636363636,0.6818181818181818
Subject3,Calming,3,492.27272727272725,0.7272727272727273
Subject3,Calming,4,308.95454545454544,0.9545454545454546
Subject3,Calming,5,656.8636363636364,0.6818181818181818
Subject3,Calming,6,326.77272727272725,0.8181818181818182
Subject3,Calming,7,218.63636363636363,0.8181818181818182
Subject3,Calming,8,472.8181818181818,0.6363636363636364
Subject3,Calming,10,558.0909090909091,0.5909090909090909
Subject3,Calming,11,339.40909090909093,0.8636363636363636
Subject3,Calming,12,279.45454545454544,0.9090909090909091
Subject3,Calming,13,506.1363636363636,0.5909090909090909
Subject3,Calming,14,557.6818181818181,0.7727272727272727
Subject3,Calming,15,427.8636363636364,0.7727272727272727
Subject3,Calming,16,396.04545454545456,0.6818181818181818
Subject3,Calming,17,299.0,0.8636363636363636
Subject3,Vexing,1,292.22727272727275,0.9090909090909091
Subject3,Vexing,2,617.0454545454545,0.7272727272727273
Subject3,Vexing,3,438.8636363636364,0.7727272727272727
Subject3,Vexing,4,516.0909090909091,0.8181818181818182
Subject3,Vexing,5,352.72727272727275,0.8181818181818182
Subject3,Vexing,6,441.95454545454544,0.7727272727272727
Subject3,Vexing,7,214.5,0.9090909090909091
Subject3,Vexing,8,340.27272727272725,0.7727272727272727
Subject3,Vexing,10,221.0,0.9090909090909091
Subject3,Vexing,11,390.54545454545456,0.6818181818181818
Subject3,Vexing,12,331.1818181818182,0.7272727272727273
Subject3,Vexing,13,184.3181818181818,0.9090909090909091
Subject3,Vexing,14,242.9090909090909,0.7727272727272727
Subject3,Vexing,15,182.95454545454547,0.8636363636363636
Subject3,Vexing,16,585.9090909090909,0.0
Subject3,Vexing,17,279.8636363636364,0.9090909090909091
Subject4,Calming,1,265.95454545454544,0.8636363636363636
Subject4,Calming,2,582.1818181818181,0.5454545454545454
Subject4,Calming,3,317.59090909090907,0.6363636363636364
Subject4,Calming,4,357.04545454545456,0.9090909090909091
Subject4,Calming,5,460.6818181818182,0.45454545454545453
Subject4,Calming,6,251.1818181818182,0.5909090909090909
Subject4,Calming,7,279.1818181818182,0.9545454545454546
Subject4,Calming,8,332.90909090909093,0.6818181818181818
Subject4,Calming,10,445.8636363636364,0.6363636363636364
Subject4,Calming,11,256.95454545454544,0.9090909090909091
Subject4,Calming,12,238.0,0.9090909090909091
Subject4,Calming,13,369.6363636363636,0.6363636363636364
Subject4,Calming,14,294.90909090909093,0.6363636363636364
Subject4,Calming,15,315.95454545454544,0.7727272727272727
Subject4,Calming,16,397.1363636363636,0.4090909090909091
Subject4,Calming,17,299.1363636363636,0.9090909090909091
Subject4,Vexing,1,325.77272727272725,0.9090909090909091
Subject4,Vexing,2,360.27272727272725,0.5454545454545454
Subject4,Vexing,3,280.77272727272725,0.8181818181818182
Subject4,Vexing,4,185.4090909090909,0.6818181818181818
Subject4,Vexing,5,278.8181818181818,0.7727272727272727
Subject4,Vexing,6,271.8636363636364,0.6818181818181818
Subject4,Vexing,7,224.13636363636363,0.7272727272727273
Subject4,Vexing,8,307.95454545454544,0.6818181818181818
Subject4,Vexing,10,291.59090909090907,0.7727272727272727
Subject4,Vexing,11,347.09090909090907,0.7272727272727273
Subject4,Vexing,12,322.6363636363636,0.6363636363636364
Subject4,Vexing,13,249.22727272727272,0.8181818181818182
Subject4,Vexing,14,299.6818181818182,0.5909090909090909
Subject4,Vexing,15,251.1818181818182,0.8181818181818182
Subject4,Vexing,16,265.04545454545456,0.0
Subject4,Vexing,17,255.72727272727272,0.8636363636363636
Subject6,Calming,1,296.09090909090907,0.8181818181818182
Subject6,Calming,2,219.1818181818182,0.5909090909090909
Subject6,Calming,3,193.22727272727272,0.5909090909090909
Subject6,Calming,4,273.54545454545456,0.8181818181818182
Subject6,Calming,5,292.09090909090907,0.6818181818181818
Subject6,Calming,6,265.59090909090907,0.8636363636363636
Subject6,Calming,7,271.8181818181818,0.8636363636363636
Subject6,Calming,8,196.45454545454547,0.6363636363636364
Subject6,Calming,10,249.36363636363637,0.5
Subject6,Calming,11,273.77272727272725,0.6363636363636364
Subject6,Calming,12,257.95454545454544,0.7727272727272727
Subject6,Calming,13,169.9090909090909,0.6363636363636364
Subject6,Calming,14,161.95454545454547,0.5454545454545454
Subject6,Calming,15,310.6818181818182,0.8181818181818182
Subject6,Calming,16,239.0909090909091,0.7727272727272727
Subject6,Calming,17,249.4090909090909,0.8636363636363636
Subject6,Vexing,1,273.90909090909093,0.8636363636363636
Subject6,Vexing,2,202.5909090909091,0.7272727272727273
Subject6,Vexing,3,260.59090909090907,0.8181818181818182
Subject6,Vexing,4,206.63636363636363,0.5909090909090909
Subject6,Vexing,5,292.45454545454544,0.9090909090909091
Subject6,Vexing,6,298.90909090909093,0.6818181818181818
Subject6,Vexing,7,261.6363636363636,0.8181818181818182
Subject6,Vexing,8,268.3636363636364,0.6818181818181818
Subject6,Vexing,10,251.95454545454547,0.8181818181818182
Subject6,Vexing,11,247.0,0.7727272727272727
Subject6,Vexing,12,224.13636363636363,0.7272727272727273
Subject6,Vexing,13,286.1363636363636,0.8636363636363636
Subject6,Vexing,14,286.3181818181818,0.8181818181818182
Subject6,Vexing,15,248.3181818181818,0.9545454545454546
Subject6,Vexing,16,237.22727272727272,0.0
Subject6,Vexing,17,210.6818181818182,0.8636363636363636
Subject8,Calming,1,506.1363636363636,0.6818181818181818
Subject8,Calming,2,442.22727272727275,0.36363636363636365
Subject8,Calming,3,572.8181818181819,0.5
Subject8,Calming,4,278.1363636363636,0.7727272727272727
Subject8,Calming,5,349.3636363636364,0.5909090909090909
Subject8,Calming,6,346.90909090909093,0.8636363636363636
Subject8,Calming,7,394.5,0.8636363636363636
Subject8,Calming,8,579.0,0.6818181818181818
Subject8,Calming,10,424.95454545454544,0.5454545454545454
Subject8,Calming,11,332.40909090909093,0.9545454545454546
Subject8,Calming,12,427.04545454545456,0.9545454545454546
Subject8,Calming,13,329.22727272727275,0.5909090909090909
Subject8,Calming,14,488.8636363636364,0.7727272727272727
Subject8,Calming,15,323.1363636363636,0.8636363636363636
Subject8,Calming,16,325.1818181818182,0.5454545454545454
Subject8,Calming,17,177.6818181818182,0.9545454545454546
Subject8,Vexing,1,260.27272727272725,0.8636363636363636
Subject8,Vexing,2,330.04545454545456,0.6818181818181818
Subject8,Vexing,3,286.27272727272725,0.8181818181818182
Subject8,Vexing,4,395.40909090909093,0.5
Subject8,Vexing,5,241.0,0.9090909090909091
Subject8,Vexing,6,518.8636363636364,0.6363636363636364
Subject8,Vexing,7,228.45454545454547,0.9090909090909091
Subject8,Vexing,8,406.77272727272725,0.45454545454545453
Subject8,Vexing,10,271.3636363636364,0.8636363636363636
Subject8,Vexing,11,401.22727272727275,0.6818181818181818
Subject8,Vexing,12,369.95454545454544,0.7272727272727273
Subject8,Vexing,13,320.6818181818182,0.8636363636363636
Subject8,Vexing,14,320.77272727272725,0.5909090909090909
Subject8,Vexing,15,210.13636363636363,0.9545454545454546
Subject8,Vexing,16,342.1818181818182,0.0
Subject8,Vexing,17,235.27272727272728,0.9545454545454546
