Subject,Session,Avg_Response_Time,Accuracy_Rate
Subject11,Calming,360.1306818181818,0.7244318181818182
Subject11,Vexing,271.1448863636364,0.7045454545454546
Subject3,Calming,430.7840909090909,0.7642045454545454
Subject3,Vexing,352.02272727272725,0.7670454545454546
Subject4,Calming,341.5198863636364,0.7159090909090909
Subject4,Vexing,282.3238636363636,0.6903409090909091
Subject6,Calming,245.00852272727272,0.7130681818181819
Subject6,Vexing,253.55397727272728,0.7443181818181819
Subject8,Calming,393.5994318181818,0.71875
Subject8,Vexing,321.1676136363636,0.7130681818181818
